REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGBRACW00,CO2BRA,1,2044,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,1,2045,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,1,2046,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,1,2047,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,1,2048,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,1,2049,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,1,2050,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2021,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2022,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2023,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2024,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2025,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2026,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2027,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2028,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2029,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2030,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2031,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2032,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2033,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2034,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2035,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2036,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2037,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2038,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2039,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2040,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2041,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2042,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2043,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2044,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2045,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2046,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2047,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2048,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2049,0.1288
GLOBAL,PWRCCGBRACW00,CO2BRA,2,2050,0.1288
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2021,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2022,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2023,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2024,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2025,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2026,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2027,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2028,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2029,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2030,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2031,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2032,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2033,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2034,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2035,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2036,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2037,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2038,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2039,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2040,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2041,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2042,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2043,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2044,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2045,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2046,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2047,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2048,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2049,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,1,2050,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2021,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2022,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2023,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2024,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2025,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2026,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2027,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2028,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2029,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2030,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2031,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2032,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2033,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2034,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2035,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2036,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2037,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2038,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2039,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2040,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2041,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2042,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2043,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2044,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2045,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2046,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2047,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2048,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2049,0.1006
GLOBAL,PWRCCGBRACW01,CO2BRA,2,2050,0.1006
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2021,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2022,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2023,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2024,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2025,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2026,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2027,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2028,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2029,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2030,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2031,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2032,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2033,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2034,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2035,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2036,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2037,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2038,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2039,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2040,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2041,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2042,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2043,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2044,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2045,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2046,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2047,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2048,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2049,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,1,2050,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2021,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2022,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2023,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2024,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2025,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2026,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2027,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2028,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2029,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2030,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2031,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2032,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2033,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2034,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2035,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2036,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2037,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2038,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2039,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2040,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2041,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2042,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2043,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2044,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2045,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2046,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2047,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2048,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2049,0.1268
GLOBAL,PWRCCGBRANE00,CO2BRA,2,2050,0.1268
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2021,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2022,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2023,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2024,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2025,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2026,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2027,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2028,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2029,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2030,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2031,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2032,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2033,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2034,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2035,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2036,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2037,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2038,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2039,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2040,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2041,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2042,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2043,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2044,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2045,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2046,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2047,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2048,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2049,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,1,2050,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2021,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2022,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2023,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2024,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2025,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2026,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2027,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2028,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2029,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2030,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2031,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2032,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2033,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2034,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2035,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2036,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2037,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2038,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2039,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2040,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2041,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2042,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2043,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2044,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2045,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2046,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2047,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2048,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2049,0.1006
GLOBAL,PWRCCGBRANE01,CO2BRA,2,2050,0.1006
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2021,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2022,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2023,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2024,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2025,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2026,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2027,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2028,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2029,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2030,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2031,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2032,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2033,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2034,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2035,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2036,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2037,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2038,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2039,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2040,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2041,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2042,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2043,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2044,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2045,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2046,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2047,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2048,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2049,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,1,2050,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2021,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2022,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2023,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2024,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2025,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2026,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2027,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2028,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2029,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2030,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2031,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2032,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2033,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2034,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2035,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2036,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2037,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2038,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2039,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2040,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2041,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2042,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2043,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2044,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2045,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2046,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2047,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2048,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2049,0.1283
GLOBAL,PWRCCGBRANW00,CO2BRA,2,2050,0.1283
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2021,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2022,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2023,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2024,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2025,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2026,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2027,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2028,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2029,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2030,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2031,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2032,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2033,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2034,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2035,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2036,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2037,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2038,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2039,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2040,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2041,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2042,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2043,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2044,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2045,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2046,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2047,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2048,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2049,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,1,2050,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2021,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2022,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2023,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2024,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2025,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2026,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2027,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2028,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2029,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2030,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2031,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2032,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2033,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2034,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2035,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2036,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2037,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2038,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2039,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2040,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2041,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2042,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2043,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2044,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2045,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2046,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2047,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2048,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2049,0.1006
GLOBAL,PWRCCGBRANW01,CO2BRA,2,2050,0.1006
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2021,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2022,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2023,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2024,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2025,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2026,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2027,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2028,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2029,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2030,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2031,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2032,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2033,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2034,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2035,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2036,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2037,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2038,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2039,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2040,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2041,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2042,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2043,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2044,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2045,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2046,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2047,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2048,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2049,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,1,2050,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2021,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2022,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2023,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2024,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2025,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2026,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2027,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2028,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2029,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2030,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2031,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2032,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2033,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2034,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2035,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2036,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2037,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2038,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2039,0.1288
GLOBAL,PWRCCGBRASE00,CO2BRA,2,2040,0.1288
